기준일,ARS-ID,정류소명_x,Unnamed: 3,마을,간선,지선,순환,NODE_ID,X좌표,Y좌표,정류소타입
2025-07-02,4247,한양여대앞,,0,0,1,0,103000145,127.0503,37.55951,일반차로
2025-07-02,4252,도선고등학교.꽃재교회,,0,1,2,0,103000150,127.0277828,37.56709321,일반차로
2025-07-02,4253,성수역4번출구,,0,2,1,0,103900215,127.0545807,37.54478786,일반차로
2025-07-02,4254,리버하우스,,0,1,2,0,103000152,127.0510061,37.55090026,일반차로
2025-07-02,4255,리버하우스,,0,1,2,0,103000153,127.0506905,37.5512302,일반차로
2025-07-02,4256,성수사거리,,0,2,1,0,103900213,127.062352,37.542562,일반차로
2025-07-02,4257,성수사거리,,0,2,1,0,103900214,127.0623621,37.54279808,일반차로
2025-07-02,4258,성동제일새마을금고,,0,0,1,0,103000156,127.0471033,37.5608116,일반차로
2025-07-02,4259,성동제일새마을금고,,0,0,1,0,103000157,127.0473013,37.56088413,일반차로
2025-07-02,4261,청계9가.텐즈힐2단지정문앞,,0,0,1,0,103000159,127.0255654,37.57074945,일반차로
2025-07-02,4264,뚝섬서울숲,,1,1,0,0,103000162,127.0375619,37.54345278,일반차로
2025-07-02,4265,서울숲1번출입구,,0,1,0,0,103000163,127.0426959,37.54222306,일반차로
2025-07-02,4266,서울숲1번출입구,,0,1,0,0,103000164,127.0429744,37.54197811,일반차로
2025-07-02,4267,용답휴식공원,,0,1,1,0,103000165,127.0480538,37.56931211,일반차로
2025-07-02,4268,용답휴식공원,,0,1,1,0,103000166,127.0479373,37.56955418,일반차로
2025-07-02,4269,성수2가3동주민센터,,0,1,2,0,103000167,127.0542376,37.55042513,일반차로
2025-07-02,4270,극동그린아파트앞,,0,0,3,0,103000168,127.0113917,37.54200084,일반차로
2025-07-02,4271,마장역,,0,1,1,0,103000169,127.0430338,37.56634697,일반차로
2025-07-02,4272,행당신동아.행당푸르지오아파트,,0,5,1,0,103000170,127.0340193,37.55614084,일반차로
2025-07-02,4273,숭신초등학교,,0,1,0,0,103000171,127.0281959,37.56716762,일반차로
2025-07-02,4275,극동아파트,,1,1,0,0,103000172,127.0239338,37.55809745,일반차로
2025-07-02,4276,풍림아파트,,2,1,0,0,103000173,127.0239062,37.55914272,일반차로
2025-07-02,4277,벽산아파트,,0,1,0,0,103000174,127.0256886,37.55560229,일반차로
2025-07-02,4278,대림아파트,,0,1,0,0,103000175,127.024926,37.55657383,일반차로
2025-07-02,4279,행당역,,2,1,0,0,103000176,127.0290983,37.5570009,일반차로
2025-07-02,4280,행당역,,0,1,0,0,103000177,127.0287644,37.55707937,일반차로
2025-07-02,4281,무학여고,,0,1,0,0,103000178,127.0330163,37.55839115,일반차로
2025-07-02,4282,극동그린아파트,,0,0,2,0,103000179,127.011905,37.54206463,일반차로
2025-07-02,4286,성수동차고지,,0,0,4,0,103000183,127.055682,37.535793,일반차로
2025-07-02,4288,제민약국,,0,0,2,0,103000185,127.0585185,37.53659215,일반차로
2025-07-02,4289,왕십리자이.신당현대아파트,,0,1,0,0,103000186,127.02363,37.560847,일반차로
2025-07-02,4290,왕십리자이.신당현대아파트,,1,1,0,0,103000187,127.0241021,37.5611519,일반차로
2025-07-02,4291,제민약국,,0,0,2,0,103000188,127.058488,37.536507,일반차로
2025-07-02,4293,우리은행화양동지점,,0,1,2,0,103000189,127.0661377,37.54811642,일반차로
2025-07-02,4295,황학교.텐즈힐몰,,0,1,0,0,103000191,127.0236037,37.57005175,일반차로
2025-07-02,4298,마장동주민센터,,0,1,1,0,105000455,127.0446425,37.56706321,일반차로
2025-07-02,4301,왕십리광장.왕십리역7번출구,,2,0,1,0,103000293,127.0368888,37.56112833,일반차로
2025-07-02,4302,왕십리광장.왕십리역4번출구,,3,0,1,0,103000292,127.0371334,37.56136444,일반차로
2025-07-02,4303,한양대동문앞,,0,0,1,0,103000297,127.049676,37.55564329,일반차로
2025-07-02,4304,왕십리도선동주민센터,,0,1,0,0,103000295,127.0244127,37.56781696,일반차로
2025-07-02,4305,한양여대앞,,0,0,1,0,103000296,127.0506193,37.55922439,일반차로
2025-07-02,4306,행당중학교,,0,0,1,0,103000505,127.044352,37.553821,일반차로
2025-07-02,4307,살곶이체육공원앞,,0,0,1,0,103000516,127.0510192,37.55635904,일반차로
2025-07-02,4574,성동구청,,1,5,2,0,103900085,127.0364064,37.56413555,마을버스
2025-07-02,4698,대림아파트후문,,2,1,0,0,103900108,127.0269327,37.5561715,마을버스
